
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
July 1978;LPPT: Lisboa;164330;
June 1978;LPPT: Lisboa;109937;
May 1978;LPPT: Lisboa;111872;
April 1978;LPPT: Lisboa;104126;
March 1978;LPPT: Lisboa;97116;
February 1978;LPPT: Lisboa;65999;
January 1978;LPPT: Lisboa;77221;
December 1977;LPPT: Lisboa;80809;
November 1977;LPPT: Lisboa;80594;
October 1977;LPPT: Lisboa;116627;
September 1977;LPPT: Lisboa;132603;
August 1977;LPPT: Lisboa;145566;
July 1977;LPPT: Lisboa;153177;
June 1977;LPPT: Lisboa;114855;
May 1977;LPPT: Lisboa;102380;
April 1977;LPPT: Lisboa;107864;
March 1977;LPPT: Lisboa;84596;
February 1977;LPPT: Lisboa;65395;
January 1977;LPPT: Lisboa;80280;
December 1976;LPPT: Lisboa;89408;
November 1976;LPPT: Lisboa;70454;
October 1976;LPPT: Lisboa;100962;
September 1976;LPPT: Lisboa;127141;
August 1976;LPPT: Lisboa;139428;
July 1976;LPPT: Lisboa;134629;
June 1976;LPPT: Lisboa;91092;
May 1976;LPPT: Lisboa;82807;
April 1976;LPPT: Lisboa;90569;
March 1976;LPPT: Lisboa;80738;
February 1976;LPPT: Lisboa;62275;
January 1976;LPPT: Lisboa;72691;
December 1975;LPPT: Lisboa;77759;
November 1975;LPPT: Lisboa;64679;
October 1975;LPPT: Lisboa;153817;
September 1975;LPPT: Lisboa;167812;
August 1975;LPPT: Lisboa;155312;
July 1975;LPPT: Lisboa;143027;
June 1975;LPPT: Lisboa;118550;
May 1975;LPPT: Lisboa;98908;
April 1975;LPPT: Lisboa;81463;
March 1975;LPPT: Lisboa;92758;
February 1975;LPPT: Lisboa;76065;
January 1975;LPPT: Lisboa;88281;
December 1974;LPPT: Lisboa;101779;
November 1974;LPPT: Lisboa;81009;
October 1974;LPPT: Lisboa;101114;
September 1974;LPPT: Lisboa;147271;
August 1974;LPPT: Lisboa;143242;
July 1974;LPPT: Lisboa;147499;
June 1974;LPPT: Lisboa;111210;
May 1974;LPPT: Lisboa;95864;
April 1974;LPPT: Lisboa;108461;
March 1974;LPPT: Lisboa;102091;
February 1974;LPPT: Lisboa;77011;
January 1974;LPPT: Lisboa;82985;
December 1973;LPPT: Lisboa;94733;
November 1973;LPPT: Lisboa;88884;
October 1973;LPPT: Lisboa;120026;
September 1973;LPPT: Lisboa;145916;
August 1973;LPPT: Lisboa;142011;
July 1973;LPPT: Lisboa;162387;
June 1973;LPPT: Lisboa;121397;
May 1973;LPPT: Lisboa;111912;
April 1973;LPPT: Lisboa;118157;
March 1973;LPPT: Lisboa;91365;
February 1973;LPPT: Lisboa;71836;
January 1973;LPPT: Lisboa;74351;
December 1972;LPPT: Lisboa;80597;
November 1972;LPPT: Lisboa;74476;
October 1972;LPPT: Lisboa;112897;
September 1972;LPPT: Lisboa;141416;
August 1972;LPPT: Lisboa;127079;
July 1972;LPPT: Lisboa;144165;
June 1972;LPPT: Lisboa;104478;
May 1972;LPPT: Lisboa;99141;
April 1972;LPPT: Lisboa;96869;
March 1972;LPPT: Lisboa;89712;
February 1972;LPPT: Lisboa;60896;
